Family,Total_Jobs,Min_Level,Max_Level,Avg_Level
Operations,705,1,9,2.458156028368794
Skilled Trades,388,1,4,2.1778350515463916
Executive,344,1,9,3.311046511627907
Engineering,280,1,9,2.2392857142857143
Healthcare,266,1,9,2.1090225563909772
Data,132,1,4,2.257575757575758
Finance,108,1,4,2.2222222222222223
Sales,90,1,9,2.3555555555555556
Design,90,2,4,2.3555555555555556
Education,64,1,5,2.375
Marketing,54,1,9,2.7962962962962963
Food Service,43,1,4,2.5813953488372094
HR,40,1,4,2.55
Legal,37,1,4,2.1621621621621623
Customer Success,27,2,4,2.2222222222222223
Product,16,2,5,4.0625
Retail,10,2,4,2.2
