Level,Title,Family,SOC_Category
1,Accounting Assistant,Finance,"Bookkeeping, Accounting, and Auditing Clerks"
1,Activity Assistant,Operations,"Directors, Religious Activities and Education"
1,Administrative Assistant,Healthcare,Atmospheric and Space Scientists
1,Admissions Assistant,Finance,"Interviewers, Except Eligibility and Loan"
1,Agent Assistant,Operations,"Agents and Business Managers of Artists, Performers, and Athletes"
1,Assistant Coordinator,Executive,Network and Computer Systems Administrators
1,Assistant Leader,Sales,First-Line Supervisors of Non-Retail Sales Workers
1,Back Office Medical Assistant,Healthcare,Medical Assistants
1,Bakery Assistant,Operations,Bakers
1,Business Assistant,Operations,"Sales and Related Workers, All Other"
2,.NET Developer,Engineering,Computer Programmers
2,3D Animator,Design,Special Effects Artists and Animators
2,3D Artist,Design,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2,3d Designer,Design,Special Effects Artists and Animators
2,3d Modeler,Design,Special Effects Artists and Animators
2,3d Printing Technician,Skilled Trades,Postal Service Clerks
2,Aba Therapist,Healthcare,"Counselors, All Other"
2,Academic Advisor,Education,"Educational, Guidance, and Career Counselors and Advisors"
2,Academic Coordinator,Executive,"Education Administrators, Postsecondary"
2,Academic Counselor,Education,"Educational, Guidance, and Career Counselors and Advisors"
4,Account Manager,Sales,Sales Managers
4,Accounting Manager,Finance,Financial Managers
4,Accounts Payable Manager,Operations,First-Line Supervisors of Office and Administrative Support Workers
4,Accounts Payable Supervisor,Operations,First-Line Supervisors of Office and Administrative Support Workers
4,Accounts Receivable Manager,Operations,First-Line Supervisors of Office and Administrative Support Workers
4,Administration Manager,Operations,Administrative Services and Facilities Managers
4,Advertising Manager,Marketing,Advertising and Promotions Managers
4,Ai Product Manager,Product,Exercise Physiologists
4,Airport Manager,Operations,"First-Line Supervisors of Personal Service and Entertainment Workers, Except Gambling Services"
4,Analytics Manager,Data,Statistical Assistants
5,Engineering Program Manager,Product,Architectural and Engineering Managers
5,Group Manager,Operations,Sales Managers
5,Principal,Education,Chief Executives
5,Principal Architect,Education,"Computer Occupations, All Other"
5,Principal Consultant,Education,Management Analysts
5,Program Manager,Product,Social and Community Service Managers
5,School Principal,Education,"Education Administrators, Kindergarten through Secondary"
5,Technical Program Manager,Product,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other"
6,Activities Director,Executive,Music Directors and Composers
6,Advertising Director,Executive,Advertising and Promotions Managers
6,Art Director,Executive,Art Directors
6,Associate Director,Executive,Administrative Services and Facilities Managers
6,Athletic Director,Executive,"Education Administrators, Kindergarten through Secondary"
6,Business Office Director,Executive,Chief Executives
6,Camp Director,Executive,Recreation Workers
6,Campus Director,Executive,"Directors, Religious Activities and Education"
6,Center Director,Executive,"Education and Childcare Administrators, Preschool and Daycare"
6,Child Care Director,Executive,"Education and Childcare Administrators, Preschool and Daycare"
9,Assistant To Coo,Executive,First-Line Supervisors of Police and Detectives
9,Assistant To The President,Operations,Executive Secretaries and Executive Administrative Assistants
9,Chief Credit Officer,Engineering,"Credit Authorizers, Checkers, and Clerks"
9,Chief Executive Officer,Executive,Chief Executives
9,Chief Financial Officer,Executive,Financial Managers
9,Chief Information Officer,Executive,Computer and Information Systems Managers
9,Chief Medical Officer,Healthcare,Physicists
9,Chief Nursing Officer,Healthcare,Nurse Anesthetists
9,Chief Operating Officer,Executive,Chief Executives
9,Chief Risk Officer,Engineering,"Credit Authorizers, Checkers, and Clerks"
